entity_type,id,name,parent_tm,status,changed_fields
Hat,6556,154kV KAPIÇAM - DDY NARLI EİH,,removed-from-source,
Hat,6557,154kV ÇİMKO -> GASKİ2 - NARLI MOBİL EİH,,removed-from-source,
Hat,6558,154kV GASKİ2 -> ÇİMKO - NARLI MOBİL EİH,,removed-from-source,
Hat,6559,154kV NARLI MOBİL -> ÇİMKO - GASKİ 2  EİH,,removed-from-source,
Hat,6568,400kV MORSAN -> ALİAĞA-2 - SOMA-B EİH,,removed-from-source,
Hat,6569,400kV ALİAĞA2 -> MORSAN - SOMA-B EİH,,removed-from-source,
Hat,6570,400kV SOMA-B TES -> ALİAĞA-2 - MORSAN EİH,,removed-from-source,
Trafo,2353,TR-A,ATATÜRK HES,removed-from-source,
Trafo,2407,A-OTR-4,BAŞKALE,removed-from-source,
Trafo,2498,A-OTR-1,AFYON2,removed-from-source,
Trafo,2759,TR-A,BARLA,removed-from-source,
Trafo,3326,OTR-1,KARADENİZ EREĞLİ,removed-from-source,
Trafo,3333,TR-A,KARADENİZ EREĞLİ,removed-from-source,
Trafo,3335,TR-B,KARADENİZ EREĞLİ,removed-from-source,
Trafo,3584,TR-A,KARAMÜRSEL,removed-from-source,
Trafo,3586,TR-B,KARAMÜRSEL,removed-from-source,
Trafo,3598,A-OTR-1,OSMANCA,removed-from-source,
Trafo,3631,TR-A,KÜTAHYA,removed-from-source,
Trafo,3799,TR-B,TATVAN,removed-from-source,
Trafo,4103,TR-A,BUCA,removed-from-source,
Trafo,4968,B-OTR-3,AFYON2,removed-from-source,
Trafo,5032,B-OTR-4,KURŞUNLU,removed-from-source,
Trafo,5078,TR-GR2,İÇDAŞ,removed-from-source,
Trafo,5458,TR-B,KÜTAHYA,removed-from-source,
Trafo,5925,TR-A,BOZÜYÜK RES,removed-from-source,
Trafo,5926,TR-B,BOZÜYÜK RES,removed-from-source,
Trafo,6192,B-OTR-3,BOZOK,removed-from-source,
Trafo,6591,B-OTR-3,AĞRI2,removed-from-source,
Trafo,6604,B-OTR-4,BOZOK,removed-from-source,
Trafo,6667,TR-A,FRİGYA,removed-from-source,
Trafo,6771,Mobil TR,TARSUS MOBİL,removed-from-source,
Trafo,12998,TR-B,HOPA,removed-from-source,
Trafo,13053,TR-A,KARAMÜRSEL (YENİ),removed-from-source,
Trafo,13490,MOBİL TR,NARLI,removed-from-source,
Trafo,13710,TR-A,ŞARKİKARAAĞAÇ,removed-from-source,
Trafo,13835,MOBİL TR B,TARSUS MOBİL,removed-from-source,
