entity_type,id,name,parent_tm,status,changed_fields
TM,184,DÜZOVA RES,,unchanged,
TM,185,SOMA RES,,unchanged,
TM,186,LARA,,unchanged,
TM,187,NUH ÇİMENTO,,unchanged,
TM,188,BANDIRMA DGKÇS 1,,unchanged,
TM,189,DDY PAYAS,,unchanged,
TM,190,BANDIRMA 3 RES,,unchanged,
TM,191,ENTEK KÖSEKÖY,,unchanged,
TM,192,SOMA 1 RES,,unchanged,
TM,194,BAZARGAN (İRAN),,unchanged,
TM,195,PATNOS,,unchanged,
TM,196,HENDEK,,unchanged,
TM,197,BEKİRLİ TES,,unchanged,
TM,198,SİMAV,,unchanged,
TM,199,ALARA,,unchanged,
TM,200,SOMA 2 RES,,unchanged,
TM,201,YARIMCA2,,unchanged,
TM,202,KIZILTEPE SERKAN AY,,updated,Adı | Rakım (m)
TM,203,GEDİZ,,unchanged,
TM,204,YUMURTALIK,,unchanged,
TM,205,SAKARYA,,unchanged,
TM,206,NARİNKALE HAVZA,,unchanged,
TM,207,SİNOP,,unchanged,
TM,208,ALTINTAŞ,,unchanged,
TM,209,FERROKROM ANTALYA,,unchanged,
TM,210,BALIKESİR RES,,unchanged,
TM,211,KÜTAHYA,,removed-from-source,
TM,213,KAYNARCA,,unchanged,
TM,214,MURADİYE HES,,unchanged,
TM,215,SUGÖZÜ TES,,unchanged,
TM,216,ÇOBANBEYLİ,,unchanged,
TM,217,AS ÇİMENTO,,unchanged,
TM,218,KUZULUK,,unchanged,
TM,221,MENTAŞ HES,,unchanged,
TM,222,MURATLI ARMA HES,,unchanged,
TM,223,ULUDERE,,unchanged,
TM,224,AKSEKİ,,unchanged,
TM,225,KHOY (İRAN),,unchanged,
TM,226,BALIKESİR OSB,,unchanged,
TM,227,FERROKROM ELAZIĞ,,unchanged,
TM,228,DİKMEN1,,unchanged,
TM,229,ARDEŞEN,,unchanged,
TM,230,KAPIDAĞ RES,,unchanged,
TM,232,YUNAK,,unchanged,
TM,233,SIR HES,,unchanged,
TM,234,MUDURNU,,unchanged,
TM,237,SİLVAN,,unchanged,
TM,238,BEYŞEHİR,,unchanged,
TM,239,POYRAZ RES BALIKESİR,,unchanged,
TM,240,ÇILDIR HES,,unchanged,
TM,241,HAZAR1,,unchanged,
TM,242,LİCE,,unchanged,
TM,243,SARES RES,,unchanged,
TM,246,OLTU,,unchanged,
TM,248,ŞAH RES,,unchanged,
TM,249,BİSMİL1,,unchanged,
TM,250,SUSURLUK RES,,unchanged,
TM,252,AKHİSAR RES,,unchanged,
TM,253,AKŞEHİR,,unchanged,
TM,255,ANDIRIN,,unchanged,
TM,256,FORD,,unchanged,
TM,257,ALİAĞA2,,unchanged,
TM,259,MURATLI HES,,unchanged,
TM,261,ALİAĞA OSB,,unchanged,
TM,262,HAZAR2,,unchanged,
TM,263,KIRKA SALİH GÜNGÖR,,unchanged,
TM,264,KARAMÜRSEL,,removed-from-source,
TM,265,IŞIKLAR,,unchanged,
TM,266,UZUNDERE,,unchanged,
TM,267,İYİDERE,,unchanged,
TM,268,ALAÇATI,,unchanged,
TM,270,ÇAYELİ,,unchanged,
TM,271,BARLA,,unchanged,
TM,272,ALÇUK,,unchanged,
TM,273,ADIYAMAN GÖLBAŞI,,unchanged,
TM,274,YALOVA,,unchanged,
TM,275,EMET,,unchanged,
TM,276,MORSAN,,unchanged,
TM,278,PAMUKOVA,,unchanged,
TM,279,ALMAK VEYSİ AKYÜZ,,unchanged,
TM,280,BORÇKA HES,,unchanged,
TM,281,KARACABEY,,unchanged,
TM,283,BUCAK,,unchanged,
TM,284,ASLANLAR,,unchanged,
TM,285,BORNOVA BÜLENT KUAS,,unchanged,
TM,286,SARMAŞIK1-2 HES,,unchanged,
TM,287,BOSTANLI GİS,,unchanged,
TM,288,BURDUR,,unchanged,
TM,289,İZMİR DGKÇS,,unchanged,
TM,290,CEVİZLİK HES,,unchanged,
TM,291,DARENDE,,unchanged,
TM,292,BOZYAKA,,unchanged,
TM,294,BUCA,,unchanged,
TM,298,EBSO,,unchanged,
TM,299,EĞİRDİR YUSUF ÖZDEMİR,,unchanged,
TM,301,KALKANDERE,,unchanged,
TM,302,ÇAĞÇAĞ,,unchanged,
TM,303,YUKARI MANAHOZ,,unchanged,
TM,304,ULUABAT HES,,unchanged,
TM,307,CİZRE,,unchanged,
